state,hour,offense_type,period,crime_count,avg_population,crime_rate_per_100k
NV,11,motor_vehicle_theft,DST,1980,189371.49019607843,1045.5639325380366
NV,11,motor_vehicle_theft,standard,960,189371.49019607843,506.94008850329044
NV,12,burglary,DST,1410,189371.49019607843,744.5682549892078
NV,12,burglary,standard,743,189371.49019607843,392.35050599785916
NV,12,motor_vehicle_theft,DST,1895,189371.49019607843,1000.6786122018076
NV,12,motor_vehicle_theft,standard,904,189371.49019607843,477.36858334059855
NV,13,burglary,DST,1322,189371.49019607843,698.0987468764063
NV,13,burglary,standard,683,189371.49019607843,360.66675046640347
NV,13,motor_vehicle_theft,DST,1737,189371.49019607843,917.2447226356411
NV,13,motor_vehicle_theft,standard,862,189371.49019607843,455.1899544685796
NV,14,burglary,DST,1435,189371.49019607843,757.769819793981
NV,14,burglary,standard,725,189371.49019607843,382.84537933842245
NV,14,motor_vehicle_theft,DST,1686,189371.49019607843,890.3135304339038
NV,14,motor_vehicle_theft,standard,877,189371.49019607843,463.11089335144345
NV,15,burglary,DST,1501,189371.49019607843,792.6219508785822
NV,15,burglary,standard,763,189371.49019607843,402.91175784167774
NV,15,motor_vehicle_theft,DST,1870,189371.49019607843,987.4770473970345
NV,15,motor_vehicle_theft,standard,881,189371.49019607843,465.2231437202072
NV,16,burglary,DST,1353,189371.49019607843,714.468687234325
NV,16,burglary,standard,700,189371.49019607843,369.6438145336493
NV,16,motor_vehicle_theft,DST,1906,189371.49019607843,1006.487300715908
NV,16,motor_vehicle_theft,standard,894,189371.49019607843,472.08795741868926
NV,17,burglary,DST,1000,189371.49019607843,528.0625921909275
NV,17,burglary,standard,548,189371.49019607843,289.3783005206283
NV,17,motor_vehicle_theft,DST,1431,189371.49019607843,755.6575694252174
NV,17,motor_vehicle_theft,standard,712,189371.49019607843,375.98056563994044
NV,18,burglary,DST,906,189371.49019607843,478.4247085249804
NV,18,burglary,standard,581,189371.49019607843,306.8043660629289
NV,18,motor_vehicle_theft,DST,1418,189371.49019607843,748.7927557267353
NV,18,motor_vehicle_theft,standard,726,189371.49019607843,383.3734419306134
NV,19,burglary,DST,829,189371.49019607843,437.76388892627887
NV,19,burglary,standard,543,189371.49019607843,286.7379875596736
NV,19,motor_vehicle_theft,DST,1243,189371.49019607843,656.3818020933229
NV,19,motor_vehicle_theft,standard,599,189371.49019607843,316.3094927223656
NV,20,burglary,DST,782,189371.49019607843,412.9449470933053
NV,20,burglary,standard,505,189371.49019607843,266.6716090564184
NV,20,motor_vehicle_theft,DST,1234,189371.49019607843,651.6292387636046
NV,20,motor_vehicle_theft,standard,586,189371.49019607843,309.44467902388357
NV,21,burglary,DST,776,189371.49019607843,409.7765715401598
NV,21,burglary,standard,434,189371.49019607843,229.17916501086253
NV,21,motor_vehicle_theft,DST,1102,189371.49019607843,581.9249765944021
NV,21,motor_vehicle_theft,standard,605,189371.49019607843,319.4778682755112
NV,22,burglary,DST,745,189371.49019607843,393.406631182241
NV,22,burglary,standard,374,189371.49019607843,197.4954094794069
NV,22,motor_vehicle_theft,DST,1153,189371.49019607843,608.8561687961395
NV,22,motor_vehicle_theft,standard,562,189371.49019607843,296.7711768113013
NV,23,burglary,DST,727,189371.49019607843,383.9015045228043
NV,23,burglary,standard,341,189371.49019607843,180.06934393710628
NV,23,motor_vehicle_theft,DST,991,189371.49019607843,523.3100288612092
NV,23,motor_vehicle_theft,standard,455,189371.49019607843,240.26847944687205
