state,year,hour,offense_type,period,crime_count,data_year,population,crime_rate_per_100k
AZ,2024,4,motor_vehicle_theft,DST,152,2024,7262907,2.092825916674962
AZ,2024,4,motor_vehicle_theft,standard,69,2024,7262907,0.9500328174379763
AZ,2024,5,burglary,DST,196,2024,7262907,2.6986439451861357
AZ,2024,5,burglary,standard,78,2024,7262907,1.0739501414516255
AZ,2024,5,motor_vehicle_theft,DST,150,2024,7262907,2.065288733560818
AZ,2024,5,motor_vehicle_theft,standard,66,2024,7262907,0.9087270427667599
AZ,2024,6,burglary,DST,195,2024,7262907,2.6848753536290633
AZ,2024,6,burglary,standard,92,2024,7262907,1.266710423250635
AZ,2024,6,motor_vehicle_theft,DST,196,2024,7262907,2.6986439451861357
AZ,2024,6,motor_vehicle_theft,standard,110,2024,7262907,1.5145450712779331
AZ,2024,7,burglary,DST,230,2024,7262907,3.1667760581265876
AZ,2024,7,burglary,standard,103,2024,7262907,1.4181649303784285
AZ,2024,7,motor_vehicle_theft,DST,231,2024,7262907,3.18054464968366
AZ,2024,7,motor_vehicle_theft,standard,128,2024,7262907,1.7623797193052315
AZ,2024,8,burglary,DST,320,2024,7262907,4.405949298263079
AZ,2024,8,burglary,standard,158,2024,7262907,2.175437466017395
AZ,2024,8,motor_vehicle_theft,DST,256,2024,7262907,3.524759438610463
AZ,2024,8,motor_vehicle_theft,standard,168,2024,7262907,2.3131233815881163
AZ,2024,9,burglary,DST,291,2024,7262907,4.006660143107987
AZ,2024,9,burglary,standard,146,2024,7262907,2.0102143673325297
AZ,2024,9,motor_vehicle_theft,DST,292,2024,7262907,4.020428734665059
AZ,2024,9,motor_vehicle_theft,standard,138,2024,7262907,1.9000656348759526
AZ,2024,10,burglary,DST,292,2024,7262907,4.020428734665059
AZ,2024,10,burglary,standard,142,2024,7262907,1.955140001104241
AZ,2024,10,motor_vehicle_theft,DST,245,2024,7262907,3.3733049314826693
AZ,2024,10,motor_vehicle_theft,standard,121,2024,7262907,1.6659995784057267
AZ,2024,11,burglary,DST,278,2024,7262907,3.827668452866049
AZ,2024,11,burglary,standard,133,2024,7262907,1.831222677090592
AZ,2024,11,motor_vehicle_theft,DST,235,2024,7262907,3.2356190159119484
AZ,2024,11,motor_vehicle_theft,standard,125,2024,7262907,1.721073944634015
AZ,2024,12,burglary,DST,376,2024,7262907,5.176990425459118
AZ,2024,12,burglary,standard,179,2024,7262907,2.4645778887159095
AZ,2024,12,motor_vehicle_theft,DST,321,2024,7262907,4.41971788982015
AZ,2024,12,motor_vehicle_theft,standard,152,2024,7262907,2.092825916674962
AZ,2024,13,burglary,DST,274,2024,7262907,3.7725940866377607
AZ,2024,13,burglary,standard,145,2024,7262907,1.9964457757754575
AZ,2024,13,motor_vehicle_theft,DST,253,2024,7262907,3.483453663939246
AZ,2024,13,motor_vehicle_theft,standard,104,2024,7262907,1.4319335219355005
AZ,2024,14,burglary,DST,295,2024,7262907,4.061734509336276
AZ,2024,14,burglary,standard,151,2024,7262907,2.07905732511789
AZ,2024,14,motor_vehicle_theft,DST,293,2024,7262907,4.034197326222131
AZ,2024,14,motor_vehicle_theft,standard,124,2024,7262907,1.7073053530769429
AZ,2024,15,burglary,DST,298,2024,7262907,4.103040284007491
AZ,2024,15,burglary,standard,220,2024,7262907,3.0290901425558663
AZ,2024,15,motor_vehicle_theft,DST,288,2024,7262907,3.9653543684367705
AZ,2024,15,motor_vehicle_theft,standard,166,2024,7262907,2.2855861984739723
AZ,2024,16,burglary,DST,318,2024,7262907,4.378412115148934
AZ,2024,16,burglary,standard,200,2024,7262907,2.753718311414424
AZ,2024,16,motor_vehicle_theft,DST,325,2024,7262907,4.474792256048439
AZ,2024,16,motor_vehicle_theft,standard,160,2024,7262907,2.2029746491315394
AZ,2024,17,burglary,DST,326,2024,7262907,4.488560847605512
AZ,2024,17,burglary,standard,196,2024,7262907,2.6986439451861357
AZ,2024,17,motor_vehicle_theft,DST,375,2024,7262907,5.163221833902045
AZ,2024,17,motor_vehicle_theft,standard,175,2024,7262907,2.409503522487621
AZ,2024,18,burglary,DST,274,2024,7262907,3.7725940866377607
AZ,2024,18,burglary,standard,136,2024,7262907,1.8725284517618084
AZ,2024,18,motor_vehicle_theft,DST,376,2024,7262907,5.176990425459118
AZ,2024,18,motor_vehicle_theft,standard,181,2024,7262907,2.492115071830054
AZ,2024,19,burglary,DST,239,2024,7262907,3.2906933821402364
