year,state,incident_date,days_from_transition,crime_type,avg_daily_count,avg_daily_rate_per_100k
2024,AZ,2024-02-26,-13,motor_vehicle_theft,29,0.3992891551550915
2024,AZ,2024-02-26,-13,robbery,8,0.11014873245657697
2024,AZ,2024-02-26,-13,shoplifting,81,1.1152559161228417
2024,AZ,2024-02-26,-13,theft_from_building,14,0.19276028179900967
2024,AZ,2024-02-26,-13,theft_from_motor_vehicle,38,0.5232064791687405
2024,AZ,2024-02-27,-12,burglary,25,0.344214788926803
2024,AZ,2024-02-27,-12,motor_vehicle_theft,29,0.3992891551550915
2024,AZ,2024-02-27,-12,robbery,2,0.027537183114144242
2024,AZ,2024-02-27,-12,shoplifting,84,1.1565616907940581
2024,AZ,2024-02-27,-12,theft_from_building,20,0.2753718311414424
2024,AZ,2024-02-27,-12,theft_from_motor_vehicle,40,0.5507436622828848
2024,AZ,2024-02-28,-11,burglary,27,0.3717519720409473
2024,AZ,2024-02-28,-11,motor_vehicle_theft,19,0.26160323958437026
2024,AZ,2024-02-28,-11,robbery,5,0.0688429577853606
2024,AZ,2024-02-28,-11,shoplifting,72,0.9913385921091926
2024,AZ,2024-02-28,-11,theft_from_building,21,0.28914042269851453
2024,AZ,2024-02-28,-11,theft_from_motor_vehicle,29,0.3992891551550915
2024,AZ,2024-02-29,-10,burglary,28,0.38552056359801934
2024,AZ,2024-02-29,-10,motor_vehicle_theft,19,0.26160323958437026
2024,AZ,2024-02-29,-10,robbery,5,0.0688429577853606
2024,AZ,2024-02-29,-10,shoplifting,90,1.2391732401364908
2024,AZ,2024-02-29,-10,theft_from_building,14,0.19276028179900967
2024,AZ,2024-02-29,-10,theft_from_motor_vehicle,22,0.30290901425558664
2024,AZ,2024-03-01,-9,burglary,38,0.5232064791687405
2024,AZ,2024-03-01,-9,motor_vehicle_theft,26,0.3579833804838751
2024,AZ,2024-03-01,-9,robbery,5,0.0688429577853606
2024,AZ,2024-03-01,-9,shoplifting,93,1.2804790148077072
2024,AZ,2024-03-01,-9,theft_from_building,24,0.33044619736973085
2024,AZ,2024-03-01,-9,theft_from_motor_vehicle,40,0.5507436622828848
2024,AZ,2024-03-02,-8,burglary,31,0.4268263382692357
2024,AZ,2024-03-02,-8,motor_vehicle_theft,39,0.5369750707258127
2024,AZ,2024-03-02,-8,robbery,9,0.12391732401364908
2024,AZ,2024-03-02,-8,shoplifting,79,1.0877187330086975
2024,AZ,2024-03-02,-8,theft_from_building,5,0.0688429577853606
2024,AZ,2024-03-02,-8,theft_from_motor_vehicle,36,0.4956692960545963
2024,AZ,2024-03-03,-7,burglary,26,0.3579833804838751
2024,AZ,2024-03-03,-7,motor_vehicle_theft,36,0.4956692960545963
2024,AZ,2024-03-03,-7,robbery,8,0.11014873245657697
