state,data_year,county_fips,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate
AZ,2023,04007,Gila County,59089,0.17775271016958874,0.0686186050708292,0.1884718899521531
AZ,2023,04009,Graham County,67326,0.17677007860799507,0.05946080567835128,0.14591321897073664
AZ,2023,04011,Greenlee County,75239,0.10794730131746706,0.034193840579710144,0.20414593698175787
AZ,2023,04012,La Paz County,49506,0.1844499078057775,0.09782125389061805,0.13855103120042306
AZ,2023,04013,Maricopa County,85518,0.11250356744752435,0.044017066750093134,0.35858005799892256
AZ,2023,04015,Mohave County,55799,0.16831673854865792,0.06488580236302587,0.1488545563987867
AZ,2023,04017,Navajo County,52752,0.24712485136741974,0.08058403381759875,0.17631494659443803
AZ,2023,04019,Pima County,67929,0.14352333331374773,0.053802576675905336,0.35870627429206
AZ,2023,04021,Pinal County,77588,0.10871788658989193,0.05515962742972617,0.2215021580920576
AZ,2023,04023,Santa Cruz County,53614,0.20213231160069134,0.09486607142857142,0.24069518545733362
AZ,2023,04025,Yavapai County,66106,0.12594464804751673,0.04041940359515956,0.29602252541267426
AZ,2023,04027,Yuma County,60417,0.1645786674132139,0.07515339143700014,0.16671988356637385
CA,2023,06001,Alameda County,126240,0.09220637203712095,0.04918904045957338,0.5146936470398402
CA,2023,06003,Alpine County,110781,0.12330383480825959,0.03473053892215569,0.42105263157894735
CA,2023,06005,Amador County,81526,0.07754173390830445,0.057541652874324174,0.2244339158257445
CA,2023,06007,Butte County,68574,0.183435076074897,0.06638789657814331,0.3172056427344656
CA,2023,06009,Calaveras County,79877,0.133610086100861,0.055277874004058,0.22185801535272034
CA,2023,06011,Colusa County,75149,0.10802297572725589,0.07738890373140975,0.14523979957050823
CA,2023,06013,Contra Costa County,125727,0.08251568308449332,0.05584824988442194,0.4491015896659383
CA,2023,06015,Del Norte County,66780,0.11622314844501443,0.060308317804506184,0.20974160076562737
CA,2023,06017,El Dorado County,106190,0.08263656487028043,0.04609683845463084,0.38824101754188056
CA,2023,06019,Fresno County,71434,0.18673151230636045,0.0787638135223987,0.23854495908489587
CA,2023,06021,Glenn County,70487,0.12356584782149645,0.06870739205988505,0.16482336518844626
CA,2023,06023,Humboldt County,61135,0.18907093931987567,0.0800718990043673,0.3208513824268677
CA,2023,06025,Imperial County,56393,0.19641722853862784,0.11156705548589739,0.16100269483279375
CA,2023,06027,Inyo County,72432,0.10482818616789909,0.026720106880427523,0.31819817226739583
CA,2023,06029,Kern County,67660,0.19047538458934826,0.07708167639643337,0.18573575991839802
CA,2023,06031,Kings County,68750,0.16772867861847757,0.08940213193264329,0.13919095714061436
CA,2023,06033,Lake County,58738,0.1667563527653214,0.10282612166693278,0.17743946050883824
CA,2023,06035,Lassen County,64395,0.13675605788881012,0.07079884850665707,0.13212723998971104
CA,2023,06037,Los Angeles County,87760,0.13643018098759088,0.06566609787328255,0.35470992419092157
CA,2023,06039,Madera County,75496,0.19864050326384503,0.09580926401369277,0.1712878493305018
CA,2023,06041,Marin County,142785,0.0782781712155589,0.0575655475311539,0.6045916621480051
CA,2023,06043,Mariposa County,65378,0.13893328597643995,0.06467954759660698,0.30861708482676226
CA,2023,06045,Mendocino County,64688,0.15161434977578475,0.08545070236470122,0.24923685784847602
CA,2023,06047,Merced County,65044,0.184038478667498,0.09710722903752511,0.14780215294542995
